,rank,major,degree_type,early_career_pay,mid_career_pay,percentage_high_meaning
269,269,Government & Politics,Bachelors,"$52,400","$95,700",51%
270,271,Microbiology & Immunology,Bachelors,"$54,900","$95,400",68%
271,271,Chemistry & Environmental Science,Bachelors,"$48,200","$95,400",-
272,273,Interactive Media Design,Bachelors,"$54,000","$95,300",38%
273,273,Risk Management,Bachelors,"$58,500","$95,300",42%
274,275,Cell Biology,Bachelors,"$50,100","$95,200",59%
275,276,Aeronautics,Bachelors,"$62,800","$95,100",64%
276,277,Welding Engineering Technology,Bachelors,"$74,700","$95,000",42%
277,278,Finance & Management Information Systems,Bachelors,"$63,900","$94,800",-
278,279,Computer Science (CS) & Business,Bachelors,"$81,100","$94,600",28%
279,280,Environmental Science & Policy,Bachelors,"$49,500","$94,500",59%
280,280,Marketing & Communications,Bachelors,"$49,600","$94,500",45%
281,280,Safety Management,Bachelors,"$60,100","$94,500",70%
282,283,Business Technology Management,Bachelors,"$57,400","$94,400",42%
283,283,Computer Networking Systems,Bachelors,"$55,600","$94,400",49%
284,285,Biomedical Sciences,Bachelors,"$43,600","$94,300",70%
285,285,Philosophy,Bachelors,"$52,600","$94,300",41%
286,285,Sales & Marketing,Bachelors,"$52,700","$94,300",48%
287,285,Manufacturing Engineering Technology,Bachelors,"$66,000","$94,300",49%
288,289,Environmental Health & Safety,Bachelors,"$57,600","$94,200",68%
289,290,Organizational Psychology,Bachelors,"$51,200","$94,100",50%
290,291,Industrial Psychology,Bachelors,"$50,000","$94,000",50%
291,291,Political Science,Bachelors,"$50,700","$94,000",47%
292,291,Real Estate Development,Bachelors,"$57,100","$94,000",-
293,294,Social Ecology,Bachelors,"$49,000","$93,700",-
294,295,Risk Management & Insurance,Bachelors,"$59,500","$93,600",46%
295,296,Radiation Therapy,Bachelors,"$68,400","$93,400",90%
296,297,French Literature,Bachelors,"$46,400","$93,300",50%
297,297,Occupational Therapy (OT),Bachelors,"$54,100","$93,300",88%
298,299,Advertising,Bachelors,"$47,200","$93,200",32%
299,300,Accounting,Bachelors,"$54,800","$93,100",42%
300,301,Geology,Bachelors,"$50,400","$93,000",54%
301,301,Strategic Communication,Bachelors,"$47,100","$93,000",42%
